question,answer
Where should the connectors and washer pipes be placed after removal?,"In a box together with mounting bolts for the front weight, and place the box on the cab floor."
How should the air filter be handled when removing and packing the machine?,"Protect the connectors against dirt, and place and fix them on the cab floor."
How many drums with hooks need to be tightened?,6
Where should the big teeth assembly be placed?,"In the wooden case, in the middle position under the tire bracket."
How many big teeth should be counted and placed in the case?,5
What should be done with the seat and scarifier under the tire bracket?,Separate them and tighten them.
Where should the front weight be placed?,"Under the scarifier seat, after wedging the blade."
How far away from the rear wall should the teeth bracket and rod bracket container be forked?,100mm
Where should the accessory box be placed?,In the rear of the body.
What should be installed onto the grader after placing the accessory box?,"The seat, connecting corresponding oil pipes and plugging them."
How much clearance should be left between the cab and the left and right sides of the container?,100mm
What is the first step to move the machine out of the container?,Open the container door.
What should be removed from the control box before moving the machine?,The bubble film and the dryer.
How should the cab be removed from the container?,Use a forklift to take out the cab together with the bracket.
What should be done to the parts box before moving the machine?,Pry out the nails fixing the parts box and take out the parts box and attached objects.
What is the minimum height the blade should be lifted to before moving the machine?,60mm above the ground.
Which gear should be engaged to accelerate the machine slowly?,Reverse gear 1.
What should be set at the sill of the container for transition?,A crosstie.
What is the purpose of setting a crosstie at the sill of the container?,To allow the basic machine to pass the sill stably.
What is the first step to reassemble the cab of the Motor Grader STG190C-8?,Adjust the seat and console to move toward the cab center.
What should be checked after installing the tires of the Motor Grader STG190C-8?,"The tire pressure. If insufficient, inflate them."
How should the dozer plate be aligned during reassembly?,Align the mounting hole of the dozer plate with the screw hole on the front beam.
What should be unscrewed to connect the upper and lower oil tubes of the dozer plate?,The plugs.
How should the machine be transferred to another worksite after construction at one worksite?,By short-distance road traveling.
What should be observed while transferring the machine to another worksite?,The local traffic laws and regulations.
What should be done before servicing the Motor Grader STG190C-8 machine?,"Read all safety information, warnings, and instructions."
What is the main factor that affects the lifetime of the diesel engine?,Fuel cleanliness.
What can happen if the engine is not free of dirt and water?,The injection elements may be damaged.
What type of container should not be used to store fuel?,A galvanized iron barrel.
Why should the suction pipe be kept stationary when drawing fuel from a barrel?,To avoid stirring up the sediments at the bottom of the barrel.
Where should fuel not be drawn from in a barrel?,The bottom of the barrel.
What is the only use for fuel left in a barrel?,"Cleaning, without applying it to the engine."
Who should be consulted if the engine has to work with full load at a high altitude area?,The service department of our company or the engine manufacturer.
"What determines the engine's performance, temperature level, and the quality of the exhaust gas?","The rate between combustion air and fuel injection, which has been carefully adjusted."
What can happen if dirt or other substances enter the hydraulic system of the Motor Grader STG190C-8?,"Even tiny particles may scratch the valve, making pumps seize or block the throttle or guide hole, resulting in high repair cost."
What should be done if the oil level of the hydraulic system has dropped during the daily check?,"Check all lines and hydraulic elements for leakage, seal the external leakage at once, and inform the relevant after-sales service department for repair if necessary."
Why should the barrel containing hydraulic oil not be left in the open air?,The water may enter the barrel through the oil drain outlet because of weather changes.
What can happen if the oil filler of the hydraulic oil tank is left open unnecessarily?,Dirt may enter the oil tank.
What factor is extremely important for selecting the viscosity grade of engine oil?,The local ambient temperature.
What can happen if the ambient temperature is lower than the applicable temperature limit for the chosen engine oil?,"Only the engine cold start capability, but not the engine, will be affected."
What type of device should be used to fill hydraulic oil to prolong the lifetime of the filter?,An oil filling and filtering device equipped with a fine filter.
How often should the engine oil be changed in the Motor Grader STG190C-8?,"Every 250 working hours, but only if the diesel oil has a sulfur content below 0.5% and the temperature is above -10°C."
What happens if the sulfur content of the diesel oil is 0.5%~1% or the temperature is below -10°C?,The oil change interval should be shortened by half.
What is the requirement for the engine oil if the sulfur content is 1~1.5%?,"The engine oil must contain TBN, 12 times more sulfur content, with the change interval shortened by half."
"Can diesel be mixed with gasoline, alcohol, or a mixture of gasoline and alcohol?","No, it is strictly forbidden as it may cause an explosion."
Why is it important to control fuel quality?,Because water and impurities in the fuel system can cause serious damage to the engine pump and nozzle.
What type of diesel oil is recommended for the Motor Grader STG190C-8?,Regular diesel oil that meets national and local emission standards.
What are some of the permitted diesel oil standards for the Motor Grader STG190C-8?,"GB 252-2000, DIN EN 590, BS 2869 (1988): A1 and A2, ASTM D 975-88: 1-D and 2-D, and NATO Code F-54 and F-75."
What should not be mixed with coolant liquid?,Additives of different types.
Why is it important to refill the tank?,To avoid running out of oil and to prevent the lube filter and injection lines from needing to discharge.
What type of fuel can be used in the Motor Grader STG190C-8?,Only commercially available diesel fuel with a sulfur content of less than 0.5% and no contamination.
What can happen if fuel with high sulfur content is used?,It has a negative effect on oil change intervals.
What type of fuel should be used in temperatures below 5°C?,Winter diesel fuel or a mixture of diesel oil and proper additive.
What factors determine the proper viscosity grade of lubricant?,The minimum outside temperature when the machine is started and the maximum outside temperature while the machine is operated.
What type of grease should be used?,Lithium-based high-pressure grease.
What type of antifreeze is adopted in the Motor Grader STG190C-8?,Antifreeze of organic acid technology (OAT).
What type of oil and fluids are recommended for the Motor Grader STG190C-8?,SANY special oil and fluids are recommended.
What may happen if the wrong oil and fluids are used?,Machine performance may be affected and fault may be caused to relevant parts.
Should oil and fluids of different brands be mixed?,"No, oil and fluids of different brands should not be mixed; otherwise, sediments or layers may be caused, which lead to performance degradation or failure, even fault of machine and parts."
What should be considered when disposing of oil and fluids?,Disposal of oil and fluids should comply with local laws and regulations.
What determines the proper viscosity selection for the machine?,Ambient temperature surrounding the machine.
"In extreme cold areas, what is recommended for the machine?",To use parts heating system and oil and fluids of higher viscosity.
How should the proper viscosity grade be determined for machine startup and operation?,"By referring to the ""Min. Temp."" and ""Max. Temp."" in the tables."
What should be selected unless specially specified?,The max. allowable viscosity grade under ambient temperature.
What should be considered when selecting oil and fluids?,"Oil and fluids with proper quality grade, technical specifications and viscosity as per latest standard of related authorities according to this manual."
"What should be done with engine oil, transmission oil, hydraulic oil, and other fluids before starting the machine?","Ensure they are fully flowing, take out the dipstick, and check that the oil or fluid flows down the dipstick easily."
What is prohibited when checking oil or fluid before starting the machine?,Using oil or fluid diluted by kerosene is prohibited.
What should be done if a different oil or fluid is replaced under low temperature?,The filter element should be replaced too.
Why should the filter element be replaced under low temperature when using a different oil or fluid?,"Otherwise, the filter element and housing will be solidified."
What should be done with oil and fluids in hydraulic cylinders and pipelines after replacement?,Drain them and then run the machine to circulate the oil and fluid.
How should the viscosity of oil and fluids be selected?,Select proper viscosity according to this manual.
What should be done in case of a temperature change?,Change the proper oil and fluids according to this manual.
What type of oil is recommended for the engine crankcase of the Motor Grader STG190C-8?,Diesel Engine Oil with API CI-4 and GB 11122 specifications.
What is the recommended viscosity grade of oil for the engine crankcase at an ambient temperature of -20°C to 40°C?,SAE 10W-30 or SAE 10W-40.
What type of oil is recommended for the transmission with hydraulic torque converter?,Diesel Engine Oil with API CI-4 and GB 11122 specifications.
What is the recommended viscosity grade of oil for the transmission at an ambient temperature of -30°C to 40°C?,SAE 0W-20 or SAE 5W-30.
What is the standard oil used for the Motor Grader STG190C-8 when delivered?,Diesel Engine Oil CI-15W-40.
What is the applicable temperature range for the standard oil used for the Motor Grader STG190C-8?,-20°C to 50°C.
What should be done to the oil for transmission when the ambient temperature is below -30°C?,The oil should be heated above -30°C before startup.
What type of lubricant should be used for an engine with emission of ChinaⅢ or Euro Ⅲ standard for off-road machine?,API CH-4 or lubricant of higher grade.
What type of lubricant should be used for an engine with emission of Euro Ⅳ standard for off-road machine?,API CJ-4 or lubricant of higher grade.
What is the viscosity grade of Heavy-duty Automotive Gear Oil recommended for rear axle of the STG190C-8 machine at an ambient temperature of -20℃ to 40℃?,SAE 80W-90
What type of antifreeze is recommended for the cooling system of the STG190C-8 machine?,Antifreeze OAT
What is the applicable temperature range for the Antifreeze OAT used in the STG190C-8 machine?,-40℃ to 50℃
What is the default type of gear oil used in the STG190C-8 machine at the time of delivery?,Heavy-duty Automotive Gear Oil GL-5 80W-90
At what temperature range is the default Heavy-duty Automotive Gear Oil GL-5 80W-90 used?,-25 ℃ to 40℃
What type of transmission oil is recommended for a two-gear/eight-gear transmission for motor grader in the temperature range of -40℃ to 20℃?,Transmission Oil CATERPILLAR TO-4 with a viscosity grade of SAE 0W-20 or SAE 0W-30.
What is the applicable temperature range for the Transmission Oil SAE 0W-30 used in a GA20 Tandem for motor grader?,-40℃ to 20℃
"Which type of transmission oil is recommended for a DANA transmission for motor grader, and what is its applicable temperature range?","Transmission Oil ATF (DEXRON Ⅲ) or Transmission Oil CATERPILLAR TO-4, applicable temperature range -40℃ to 40℃ or -30℃ to 50℃, respectively."
"What type of transmission oil is specifically recommended for SANY machine with two-gear/eight-gear transmission for motor grader, and what is its applicable temperature range?","Transmission Oil TO-4 with a viscosity grade of SAE 30, applicable temperature range -30℃ to 40℃."
Which viscosity grade of transmission oil is recommended for the Tandem with wet multi-disc brake in a GA20 for motor grader at a temperature of 10 ℃ to 40℃?,SAE 50
"What type of hydraulic oil is adopted by the machine when delivered, unless specially specified?",Normal Temperature Hydraulic Oil HM 68/L-HM Anti-wear Hydraulic Oil.
What is the applicable temperature range for the Normal Temperature Hydraulic Oil HM 68/L-HM Anti-wear Hydraulic Oil?,-15 ℃ to 50℃.
What is the minimum ambient temperature for using Wide-temperature Hydraulic Oil HV / L-HV?,-30 ℃.
What is the maximum ambient temperature for using Aircraft hydraulic oil?,50 ℃.
What is the viscosity grade of oil for Hydraulic system when the ambient temperature is between -20 ℃ to 5 ℃?,46.
What are the standards for Wide-temperature Hydraulic Oil HV / L-HV?,"AFNOR NF E-48-603 HV, ISO 67434/4 HV, DIN 51524 P3 HVLP, among others."
What is the minimum ambient temperature for using Normal Temperature Hydraulic Oil HM / L-HM Anti-wear Hydraulic Oil?,-20 ℃.
What is the maximum ambient temperature for using Low-temperature Hydraulic Oil?,50 ℃.
What is the standard for Aircraft hydraulic oil?,"SH 0358, Q/SH PRD047610, among others."
What type of lubricating grease is used for grease lubricated parts of the Motor Grader STG190C-8?,EP Lithium-based Lubricating Grease.
What are the applicable temperature ranges for EP Lithium-based Lubricating Grease 1# and 2#?,-30 to 40°C for 1# and -25 to 50°C for 2#.
What type of lubricating grease is used for the tank of the Motor Grader STG190C-8?,Lithium-based Lubricating Grease (GJB 4364).
What is the applicable temperature range for the tank lubricating grease?,-50 to 50°C.
What type of diesel oil is recommended for the fuel system of the Motor Grader STG190C-8?,Regular diesel oil meeting national and local emission standards.
What is the default diesel oil grade used for the Motor Grader STG190C-8 when delivered?,Diesel Oil 0#.
What are the temperature ranges for different grades of diesel oil?,Diesel Oil 5#: 8 to 50°C. Diesel Oil 0#: 4 to 50°C. Diesel Oil -10#: -5 to 50°C. Diesel Oil -20#: -14 to 50°C. Diesel Oil -35#: -29 to 50°C. Diesel Oil -50#: -44 to 50°C.
What is the purpose of the diagram in Fig.5-1?,The diagram shows the working time of the grader.
What should be done if the grader is to be stored for a long time (more than 30 days)?,An overall maintenance should be performed ahead of time.
What should be done before restarting the grader after a long storage?,Check the grader carefully and maintain it according to its conditions.
Why is maintenance and lubrication necessary during the grader's usage?,To ensure its normal usage.
Where can the lubrication intervals of parts be found?,In the maintenance diagram.
What type of engine oil is recommended for the Motor Grader STG190C-8 engine?,Diesel engine oil CI-4 15W-40.
What is the initial oil change interval for the engine?,100h.
What is the recommended oil change interval for the engine after the initial change?,"250h or 3 months, whichever comes first."
What type of transmission oil is recommended for the DANA transmission?,ATF4000.
What is the initial oil change interval for the DANA transmission?,100h.
What is the recommended oil change interval for the DANA transmission after the initial change?,"1000h or one year, whichever comes first."
What type of oil is recommended for the final reduction drive of the rear axle?,Heavy-duty Automotive Gear Oil GL-5 80W-90.
What is the recommended oil change interval for the final reduction drive of the rear axle?,"1000h or one year, whichever comes first."
What type of grease is recommended for the grease cups at work implement and rotary bearing of the rear axle?,Extreme Pressure Lithium-based Lubricating Grease 2#.
How often should the grease cups at work implement and rotary bearing of the rear axle be greased?,"Every 100h or 1 month for long-term disuse, or 50h or one week, whichever comes first."
What type of oil is recommended for the hydraulic system?,Normal temperature hydraulic oil HM 68.
What is the recommended oil change interval for the hydraulic system?,"1000h or one year, whichever comes first."
What type of antifreeze is recommended for the water tank?,OAT -45.
What is the capacity of the fuel tank for the STG190/210 model?,350L.
How often should the fuel tank be cleaned?,"Every 1000h or one year, whichever comes first."
What is the first step in cleaning the Motor Grader STG190C-8?,"Remove the mud, sands and gravels on the moldboard, guide bar and cutting edge."
What parts should be checked for leakage during routine maintenance?,"Pumps, motors, multi-way valves, valve bodies, hoses, flanges and other connections."
What types of maintenance are included in the Motor Grader STG190C-8 maintenance routine?,Routine maintenance and regular maintenance.
What determines the intervals for regular maintenance?,The same intervals specified in the Engine User's Guide.
What is used to calculate the time for regular maintenance?,The engine start.
What is the second step in routine maintenance?,Check the parts for tightness.
What parts should be especially checked for looseness and breakage during routine maintenance?,Connection bolts.
What should be done if a bolt is loose or broken during routine maintenance?,Tighten or replace the bolt.
What should be checked for leakage during maintenance?,"Engine oil, lubricant, and A/C lines."
What should be done to the harness connectors during maintenance?,"Frequently check for water and oil, and keep them clean."
What should be checked on the harness during maintenance?,"Short circuit, open circuit, and damage."
What should be done to the wiring in the electric control cabinet during maintenance?,Check for looseness.
What levels should be checked during maintenance?,"Lubricant, fuel, hydraulic oil, and water levels."
What should be done if the levels are low during maintenance?,"Fill new fuel/oil up to the specified mark, and fill water to the required volume."
What should be done before the next maintenance interval?,Finish all maintenance items for the current maintenance interval.
How often should the oil for the circle drive be replaced?,Every 50 working hours.
What should be checked every 10 working hours or at the end of every working day?,"The battery and its maintenance, and the clearance of the parking brake."
How often should the engine coolant be replaced in cold season?,Every 1000 working hours.
What should be done to the hydraulic oil tank every 500 working hours?,Clean the hydraulic oil tank and replace the oil. Fill the qualified hydraulic oil to the required oil level.
How often should the air filter element be replaced?,According to its status.
What should be checked every 100 working hours?,"The status of air filter alarm switch, and clean the dust."
How often should the engine oil and engine oil filter be replaced?,Every 250 working hours.
What should be done to the rear axle every 50 working hours?,Fill lubricating grease at rear axle.
How often should the steps for everyday or every 10 working hours be repeated?,Every 50 working hours.
What should be checked every 50 working hours?,The oil level in the hydraulic oil tank and the engine coolant level.
How often should the tension of the compressor belt be checked?,Every 50 working hours.
What should be done to the transmission shaft every 50 working hours?,Fill lubricating grease at transmission shaft.
How often should the fuel tank level be checked?,Every 50 working hours.
What should be done to the blade guide rail every 50 working hours?,Fill lubricating grease at blade guide rail.
How often should the fuel-water separator be cleaned?,Every 50 working hours.
For how long does the manual provide storage instructions?,3 months or longer
What should be done with the battery if the grader is to be stored for 3 months or longer?,"Take it off, check the electrolyte level, and charge it once a month."
How often should the battery be charged while the grader is stored for an extended period?,Once a month.
What should be used to cover the grader when parked in an open-air space during long-time storage?,Canvas.
Where is it recommended to park the grader if a garage is not available during long-time storage?,A well-ventilated place in the open air.
Why should the fuel tank be filled up during long-time storage?,To avoid condensation and rust.
How high should the hydraulic oil tank be filled during long-time storage?,"Up to the mark ""Max""."
Why is it necessary to be careful with engine oil that is being changed on a STG Series Motor Grader?,Engine oil that has been changed may contact and possibly injure people' skins severely for potential strong damages depending either potential speed limit strength without suitable methods no problem oil management full explanation method results caused information sharing standard basis
Where should the engine or machine be parked when changing the engine oil of a STG Series Motor Grader?,The engine or machine should be parked on flat and solid ground.
What should be done before refilling the new engine oil?,The old washer should be replaced with a new one and the oil drain plug should be screwed up.
What should be done after refilling the new engine oil?,The oil level should be checked and the engine should be started to check for oil leakage.
What should be done to the engine oil filter element before starting the engine?,It should not be removed. Never start the engine when the engine oil filter element is removed.
Why is it important to avoid engine oil contacting your skin?,It may lead to severe scald.
What should be done to collect the oil during the filter element change process?,Collect the oil with a container.
How should the new filter element be screwed up?,By hand.
What should be applied to the rubber seal on the new filter element?,Some oil.
What should be done to the bolt after tightening the filter element?,Tighten the bolt properly.
What should be checked after tightening the filter element?,The filter element for leaks.
Why is it important to clean the outside of the filter?,To remove any dirt.
What tool should be used to clamp the filter?,A proper tool (belt spanner).
What is the risk when working on the fuel system?,There is a possibility of catching fire.
Why is it necessary to shut down the engine before changing the fuel?,"Insufficient fuel will cause the engine to work inefficiently or even shut down, which will shorten the service life of the engine."
How should the outside of the fuel tank be cleaned before checking or changing the fuel?,It should be blown with compressed air to remove dust.
What happens if the purity of the fuel is not guaranteed?,Impurities such as dust can invalidate the oil water separator more easily and bring big resistance to fuel suction.
What should be referred to for instructions on checking and refilling fuel?,"Section 4.3.2 ""Check the fuel level"" on page 4-11."
Where should a container be placed before draining the fuel tank?,Under the drain port of the fuel tank.
How should the oil and grain materials left in the fuel tank be removed?,"With compressed air, especially in the blind corner."
What should be used to clean the fuel tank when refilling with clean diesel oil?,A new brush.
What should be done with the oil drain plug after draining the fuel tank?,It should be screwed tightly back in.
Where can the correct amount of fuel to refill the tank be found?,In table 5-8 on page 5-13.
What should be done to the fuel pipeline before starting the engine?,The air in the pipeline should be discharged by operating the electrical pump.
Where can I find the check method for the oil water separator?,"See section 4.1.2.3 ""Check the oil water separator"" on page 4-3."
What should I avoid when operating the oil water separator?,Never use open fire or smoke.
Why should I avoid using open fire or smoke when operating the oil water separator?,There is a possibility of catching fire.
What steps should I take to exhaust the oil water separator?,"1. Turn the key to ""ON"" position. 2. The pump runs and then shuts up 3 min later. Then start the engine. 3. If the engine fails to start due to residual air, repeat step 2."
What should I do before changing the oil water separator?,Shut down the engine.
Why is it important to shut down the engine before changing the oil water separator?,"If the engine is not shut down, insufficient fuel will be sucked into the engine, and it will cause the engine to work inefficiently or even shut down, shortening the service life of the engine."
How do I disassemble the filter to change the oil water separator?,Use a special spanner.
What should I avoid when working on the fuel system?,"Do not use open fire, do not smoke, and do not spill any fuel."
"Why should I avoid using open fire, smoking, or spilling fuel when working on the fuel system?",There is a possibility of catching fire.
What should be done to the sealing on the filter carrier before installing the filter element?,Clean the sealing on the filter carrier from any dirt.
How should the water separator be screwed on?,Screw the water separator on by hand until the seal contacts.
How much should the water separator be tightened after screwing it on by hand?,Tighten the water separator for another half turn.
What should be done to the rubber seal of the filter element before screwing it on?,Apply some oil to the rubber seal of the filter element.
How should the filter element be screwed on?,Screw the filter element on by hand until the seal contacts.
How much should the filter element be tightened after screwing it on by hand?,Tighten the filter element for another half turn.
What should be done to discharge the air from the system?,Turn on the power switch.
What should be checked after a short-time test run?,Check the filter element for leaks.
How should the water separator be removed?,Unscrew the water separator from the filter.
What should you avoid when working on the fuel system of the Motor Grader STG190C-8?,"You should avoid using open fire, smoking, and spilling fuel, as there is a possibility of catching fire."
Why must the engine be shut down before changing the duplex fuel filter?,"Because if the engine is not shut down, insufficient fuel will be sucked into the engine, causing it to work inefficiently or even shut down, which will shorten the service life of the engine."
What tool is required to disassemble the fuel filter?,A special spanner.
How should the new filter element be screwed up?,By hand until the seal contacts.
How much should the filter element be tightened after screwing it up by hand?,For another half turn.
What should be done after replacing the fuel filter?,Discharge the air by turning on the power switch and check the filter element for leaks after a short test run.
When should cleaning work on the Motor Grader STG190C-8 be performed?,Only after the engine has cooled down and with the engine stopped.
How often should the radiator core be cleaned?,"It is recommended to perform cleaning every 1000 working hours, or every 500 hours if lots of sundries exist in the working site."
What should be done if the air from the air outlet of the radiator is relatively even but foreign substances are loosely adhered on the radiator?,"Clean the foreign substances on the surface, and then repeatedly flush the air inlet and air outlet of the radiator by compressed air."
What should be done if the air from the air outlet of the radiator is mild but foreign substances are tightly adhered on the radiator?,"Remove the coolant radiator, hydraulic oil radiator, intercooler, and clean them alone."
What should be done if foreign substances are tightly adhered on the radiator or no air can be felt from the air outlet?,"Clean the radiator assembly, hydraulic oil radiator, and engine coolant radiator separately, and then reassemble them."
What precaution should be taken when cleaning the radiator core (fins) with compressed air?,The pressure of the compressed air should be controlled ( exact pressure not specified in the text).
What is the maximum pressure of compressed air that can be used to clean the radiator core?,0.2 MPa
How far should the air outlet face be from the radiator core when cleaning with compressed air?,Not less than 50 mm
What is the maximum pressure of high-pressure water that can be used to clean the radiator core?,0.27 MPa
How far should the high-pressure water outlet face be from the radiator core when cleaning?,Not less than 100 mm
What should be done to avoid damaging the radiator fins when cleaning with air or water?,Keep the air/water outlet vertically instead of moving it horizontally.
What parts should be avoided when spraying water during cleaning?,"The generator, cables, and electrical parts."
What should be done before starting the engine after cleaning?,Wait until the moisture has evaporated.
At what temperature should the engine coolant be below before changing it?,50°C
Why is it important to wait for the engine to cool down before changing the coolant?,To prevent people from being burned by hot coolant spilling from the radiator.
Where is the drain plug located to drain the coolant in the Motor Grader STG190C-8?,At the bottom of the radiator.
What should be done immediately after the coolant is drained off?,Screw up the drain plug.
Where can the information on refilling the coolant be found?,"Table 5-1 and section 4.1.2.2 ""Check the coolant level of the engine"" on page 4-3."
How do you check if the coolant needs to be added?,By checking the coolant level and adding if it is below the appointed mark.
What mark should the coolant level reach after refilling?,The MAX mark.
What should be done after refilling the coolant?,Start the engine to warm up.
What should be done after the engine is warmed up and cools down?,(No specific action mentioned)
When can maintenance work be done on the Motor Grader STG190C-8?,Maintenance work can be done only after the engine is shut down.
What should not be done after the air filter is removed?,The engine should never be started after the air filter is removed.
Why should the engine not be started after the air filter is removed?,"Because dust will be drawn into the engine, which will badly shorten the service life of the engine."
How will you know if the air filter needs to be maintained during engine operation?,The air filter warning lamp on the dashboard will flash.
What is the first step to maintain the air filter?,Unlock the right engine hood door.
What is the second step to maintain the air filter?,Remove the end cover of the air filter.
What should be done to the end cover and the dust valve?,They should be cleaned.
How should the used main filter element be checked?,"By blowing compressed air along the inside of the pleats toward the main filter element, and then direct the compressed air along the outside of the pleats to blow from interior to exterior."
Is it allowed to clean the main filter element by knocking?,"No, it's forbidden, otherwise the main filter element could be damaged."
How should the main filter element be removed?,"It should be taken off with care to reduce released dust, and to eliminate seal resistance, pull it up and down to avoid contact with the housing."
What should be done to the sealing surface of the main filter element?,The dust on the sealing surface should be cleaned.
What can cause leakage on the sealing surface of the main filter element?,Foreign particles on the used main filter element can cause leakage on the sealing surface.
What should be done to the air side of the filter before fixing a new filter?,The linear dust on the air side of the filter should be cleared.
What type of compressed air should be used to clean the main filter element?,Dry compressed air with a pressure of 0.3Mpa.
How many times can the main filter element be cleaned before it needs to be changed?,Three times.
What should be done to the safety filter element when the main filter element is changed?,The safety filter element should be changed as well.
What should be done if the main filter element is damaged?,The main filter element and safety element must be replaced.
What should be checked after reinstalling the end cover?,"The connection and clamps between air filter, exhaust turbocharger and intake pipe, and the lubricant pipeline for looseness and leakage."
How should the engine be cleaned before storing it for a long time?,"With cold detergent and water gun, or best of all, steam."
What should be done to the engine after cleaning it before storing it for a long time?,Run the engine until the moisture on the surface is evaporated.
What type of oil should be filled in the engine after draining the warm engine oil before storing it for a long time?,Anti-corrosion oil.
Who is recommended to maintain the air filter?,SANY service.
Who will be responsible for any damage to the engine due to improper maintenance of the air cleaner?,The customer.
What should be done to the coolant in the Motor Grader STG190C-8?,Drain the coolant and fill antifreeze and coolant.
How should the fuel in the fuel tank be handled during maintenance?,"Drain the fuel, mix it with anti-corrosion oil at a ratio of 10:1, and then fill the mixed fuel into the tank again."
How long should the engine be run after refilling the mixed fuel?,Run the engine for 10 minutes.
What is the purpose of running the engine for 10 minutes?,"To allow the anti-corrosion mixed diesel to enter all pipelines, filters, pumps, and nozzles, and to distribute new engine oil to all parts."
What should be done to the engine crankshaft after refilling the mixed fuel?,Turn the engine crankshaft (without starting the engine) for several times to inject the anti-corrosion mixed fuel into the combustion chamber.
"What should be done to the belts of the alternator, cooling fan, and A/C compressor?","Remove the belts, spray anti-rust oil into the belt pulley oil groove, and loosen the belts."
What should be done to the air filter inlet and engine exhaust port during maintenance?,"Seal the air filter inlet and engine exhaust port, and reopen them before restarting the engine."
What is the recommended condition for changing the hydraulic oil?,Under the working temperature.
Why is it important to change the hydraulic oil under the working temperature?,Otherwise some impurity may not be drained out with the hydraulic oil and cause great damage to the hydraulic element.
Is replacement of hydraulic oil necessary after overhaul?,"Yes, otherwise the hydraulic elements will be worn more easily."
What precaution should be taken when handling hydraulic oil?,Protect yourself from the hot hydraulic oil as it can badly burn your skin if it spills onto your skin.
What is the first step in the procedure for changing the hydraulic oil?,"Start the engine till the hydraulic oil warms up, then stop the engine."
Where can the steps for checking and refilling the hydraulic oil be found?,"Section 4.1.2.4 ""Check the hydraulic oil level"" on page 4-4."
"When draining the hydraulic oil, is it safe to start the engine?","No, never start the engine when draining the hydraulic oil, as it will cause damage to the whole hydraulic system."
Where is the oil drain plug located?,At the bottom of the hydraulic oil tank.
What should be done to the filter screen after removing it from the filler tube?,It should be washed with clean nonflammable solvent and dried in the air.
What is the correct oil level after filling the hydraulic oil tank?,The oil level should be between the middle and upper marks on the gauge.
What indicates that there is air in the hydraulic system?,The presence of bubbles in the oil.
What should be done if there are bubbles in the oil?,Check the suction hose and hose hoop.
What should be done if the hose hoop and connector are loose?,Tighten them.
What should be done if the hose is damaged?,Replace it.
How long should the engine be run after filling the hydraulic oil tank?,For 5 minutes.
Why is daily cleaning of the A/C recommended in dusty conditions?,To keep the cooling capacity of the A/C and prevent it from affecting its performance.
What can happen if hot water is used for cleaning the A/C?,It can lead to overpressure and damage the system.
What is the first step to take before switching on the A/C?,Start the engine and wait a few minutes for it to work smoothly.
"What should be done with the vents, window, and doors when using the A/C?",Close them to save energy.
What should be done when the temperature control switch is set to cooling range?,Switch the fan speed to high position to avoid the evaporator from frosting.
How can energy be saved while using the A/C?,"By closing the vents, window, and doors."
Can the fan speed control be used without turning on the A/C switch?,"Yes, when exchanging air without opening the window or doors."
What should be done when cooling is desired?,Turn the temperature control switch to cooling range.
What should not be used for a long time after shutting down the engine of Motor Grader STG190C-8?,The air conditioning (A/C).
How often should the A/C be switched on and run for when not in use?,Every half a month for 5-10 minutes.
How often should the air conditioner's compressor be checked and maintained?,Once every two years generally.
What should be checked when maintaining the air conditioner's compressor?,The inlet/outlet pressure and the fasteners for looseness and air leak.
What should be done when the air conditioner's compressor is disassembled and repaired?,Replace the seal ring and shaft seal to prevent leaks at the compressor seal.
Where is the air conditioner's condenser installed?,Behind the radiator.
How often should the condenser be checked and maintained?,Once a year generally.
What maintenance should be performed on the condenser?,"Cleaning with compressed air and cold water, checking the condenser surface for abnormity, and recoating with antirust paint in case of peeling-off."
How often should the evaporator be checked for leaks?,Once a year.
How often should the evaporator be opened to clean the inner and air duct?,Once every 2~3 years.
What is the first step in checking the refrigerant level?,Start the engine.
What should be done after switching on the A/C for refrigeration?,Turn on the air flow switch to check if the air is cold.
Where should the white float be located in the inspection window of the drier/collector?,At the top.
What should be done if the white float is at the bottom of the inspection window?,"Inform the service department and fill the refrigerant if necessary, and check the A/C system for leakage."
What should you check inside the inspection window of the drier/collector?,The water indicator.
What does a blue color indicate on the water indicator?,Normal drier.
What does a purple color indicate on the water indicator?,Too much water content.
What should you do if the water indicator shows purple?,Inform the service department to replace the drier/collector and check the A/C system.
How often should the drier/collector be replaced before operation season?,Every year.
Why should the drier/collector be replaced every year?,"Otherwise, it will affect the performance of the A/C."
What should be done to the drier/collector in case of corrosion or mechanical damage?,Replace it to avoid explosion and further damage.
How often should the pipe connectors be checked?,Once every year.
What should be checked on the pipe connectors?,Sealing with a leak detector.
How often should the rubber hoses be replaced?,Every 3-5 years.
What should be checked on the pipes?,Collision with other parts and aging and cracks on the rubber hoses.
How often should the pipeline connector be checked for looseness and damage?,Once a month.
What should be done if the condenser fins are distorted?,Make them in order.
How often should the evaporator air-in/out ducts be cleaned?,Once a year.
What should be checked on the liquid storage every quarter?,The pressure switch connector for looseness.
When should the liquid storage be replaced?,After the A/C has been used for 1000 hours.
What should be checked on the refrigerant volume once a month?,"If there are few or no air bubbles; otherwise, add refrigerant."
How often should the compressor fastening bolts be checked for looseness?,Once a month.
What should be checked on the compressor belt once a month?,"Wear, and replace it if necessary."
What should be done to the compressor belt if necessary?,Tighten it.
How often should the A/C be started and run for a few minutes in the seasons when it is unused?,Once a month.
